,codpro,codfor,estoque,min_dt_estoque
433,018925,00515,1.0,2013-03-07
434,018226,00269,2.0,2013-03-07
435,018947,00444,2.0,2013-03-07
436,018953,00006,3.0,2013-03-07
437,018955,00006,1.0,2013-03-07
438,019001,00055,2.0,2013-03-07
439,018346,00353,2.0,2013-07-03
440,018374,00353,2.0,2013-07-03
441,018456,04469,4.0,2013-03-07
442,018474,00444,4.0,2013-03-07
443,018502,00444,6.0,2013-03-07
444,019263,00269,1.0,2013-03-07
445,019261,00269,1.0,2013-03-07
446,019415,04845,2.0,2013-03-19
447,019485,04845,1.0,2013-05-03
448,019629,00444,8.0,2013-05-09
449,018704,00515,1.0,2013-03-07
450,018706,00515,1.0,2013-03-16
451,018728,00515,11.0,2013-03-15
452,018814,00265,1.0,2013-03-13
453,018820,00055,1.0,2013-03-07
454,019847,00253,2.0,2013-07-18
455,018902,00123,1.0,2013-03-07
456,018936,00444,1.0,2013-03-07
457,018924,00171,4.0,2013-03-07
458,019004,00055,2.0,2013-03-07
459,019971,00198,10.0,2013-08-07
460,020159,00444,1.0,2013-10-04
461,019260,00269,4.0,2013-04-01
462,020216,00444,1.0,2013-10-23
463,020218,00444,1.0,2013-10-23
464,019362,00385,11.0,2013-03-08
465,019432,00198,1.0,2013-03-22
466,020406,00253,1.0,2013-11-26
467,019572,00520,5.0,2013-05-02
468,020484,00253,2.0,2013-12-10
469,020492,00589,4.0,2013-12-13
470,019704,00444,1.0,2013-06-05
471,019724,00444,6.0,2013-05-29
472,019790,00193,8.0,2013-06-28
473,019818,00444,6.0,2013-07-02
474,019848,00253,1.0,2013-07-29
475,020108,00253,1.0,2013-10-31
476,020136,00076,4.0,2013-09-28
477,020580,00242,2.0,2013-12-26
478,020219,00444,3.0,2013-10-23
479,020375,00515,1.0,2013-11-14
480,020383,00198,9.0,2013-11-19
481,020385,00198,5.0,2013-11-19
482,020403,00253,1.0,2013-11-26
483,020409,00253,1.0,2013-11-26
484,021496,00990,2.0,2014-11-24
485,020493,00589,3.0,2013-12-13
486,020523,01652,1.0,2013-12-21
487,020525,01652,1.0,2013-12-21
488,020864,00589,16.0,2014-04-11
489,020876,00346,3.0,2014-04-14
490,020924,00278,1.0,2014-05-28
491,020934,00346,1.0,2014-06-03
492,021036,00589,2.0,2014-07-22
493,021046,00076,3.0,2014-07-19
494,021074,01652,4.0,2014-07-24
495,021078,01652,5.0,2014-07-24
496,021128,01652,1.0,2014-10-22
497,021150,01652,1.0,2014-09-05
498,021202,00573,1.0,2014-08-18
499,021244,00388,1.0,2014-09-02
500,020593,00444,1.0,2014-01-23
501,020621,01652,33.0,2014-02-03
502,021386,01652,1.0,2014-11-10
503,021394,00269,2.0,2014-10-10
504,020739,00198,6.0,2014-02-18
505,021488,00242,1.0,2014-11-12
506,021534,01652,1.0,2014-12-24
507,021566,01652,40.0,2014-12-02
508,020917,01652,1.0,2014-05-21
509,021698,00338,2.0,2015-02-13
510,021037,00589,1.0,2014-07-22
511,021129,01652,8.0,2014-10-21
512,021163,01652,1.0,2014-08-11
513,021201,00573,2.0,2014-08-18
514,021954,01652,1.0,2015-05-22
515,021978,00332,3.0,2015-05-11
516,022042,00395,8.0,2015-06-18
517,021335,00253,1.0,2014-09-30
518,021387,01652,4.0,2014-11-19
519,021389,01652,1.0,2014-11-10
520,022164,00338,2.0,2015-06-30
521,021487,00269,2.0,2014-11-10
522,022200,00520,4.0,2015-07-30
523,022212,00332,1.0,2015-07-13
524,022234,00395,2.0,2015-07-14
525,021571,01652,1.0,2014-12-02
526,022298,00253,3.0,2015-08-03
527,022300,00253,2.0,2015-08-03
528,021609,00444,2.0,2014-12-11
