,codpro,codfor,estoque,min_dt_estoque
7548,088428,06332,20.0,2024-07-24
7549,088458,06332,12.0,2024-07-24
7550,082756,00493,5.0,2024-03-18
7551,082770,00463,2.0,2023-12-19
7553,088500,00417,11.0,2024-10-15
7554,082824,02722,1.0,2023-11-28
7555,088506,00417,10.0,2024-10-15
7556,088518,00417,9.0,2024-12-20
7557,082846,00124,2.0,2023-12-22
7558,082898,02530,1.0,2024-10-23
7559,082908,00124,3.0,2024-02-16
7560,082918,00124,1.0,2024-02-16
7561,082930,00124,2.0,2024-01-03
7562,082940,00124,4.0,2024-01-03
7563,082964,00124,4.0,2024-01-03
7564,082968,00124,4.0,2024-01-30
7565,082972,00261,1.0,2023-12-29
7566,082980,00589,6.0,2024-01-02
7567,082984,00573,1.0,2024-01-22
7568,083000,00895,7.0,2024-02-19
7569,083002,00447,1.0,2023-12-27
7570,083004,04613,6.0,2024-01-05
7571,083012,04613,6.0,2024-01-05
7572,083016,04613,3.0,2024-01-05
7573,083018,04613,4.0,2024-01-05
7574,083064,00466,2.0,2024-04-08
7575,083066,01652,2.0,2024-05-18
7576,083086,01652,2.0,2025-01-14
7579,083114,02932,3.0,2024-12-19
7580,083124,03921,8.0,2024-01-18
7581,088544,02932,48.0,2024-07-21
7582,088548,00395,2.0,2024-05-30
7583,088550,04469,6.0,2025-01-31
7584,088552,00395,4.0,2024-05-30
7585,088556,00395,12.0,2024-07-25
7586,088560,00395,24.0,2024-07-25
7587,083142,04845,2.0,2024-01-10
7588,083160,04845,6.0,2024-02-22
7589,088590,00589,5.0,2024-06-18
7590,088592,00589,5.0,2024-06-18
7591,083190,04845,1.0,2024-02-22
7592,083210,04845,1.0,2023-12-28
7593,083212,00265,2.0,2024-01-16
7594,083218,01148,5.0,2024-01-22
7597,083250,00503,2.0,2024-10-15
7598,083254,04342,10.0,2023-12-26
7599,083284,00503,3.0,2024-10-15
7600,083286,00503,3.0,2024-10-15
7601,083306,00503,3.0,2024-07-21
7602,083308,00503,3.0,2024-05-15
7603,083326,00397,5.0,2025-03-07
7604,088802,00124,5.0,2024-12-12
7605,083334,00290,1.0,2024-05-20
7606,083382,03921,7.0,2023-12-26
7608,083416,02932,2.0,2024-12-11
7609,083418,02932,36.0,2024-07-22
7614,083484,00265,2.0,2024-04-10
7618,089084,00895,2.0,2025-03-14
7619,089086,00895,4.0,2025-03-14
7623,089092,00360,6.0,2025-01-14
7625,089108,06331,4.0,2024-09-14
7627,089120,00360,3.0,2025-01-25
