Cliente;grupo;tipo;tamanho;desconto ;skus_sem1;skus_sem2;skus_sem3;fat_sem1;fat_sem2;fat_sem3;marg_sem1;marg_sem2;marg_sem3;;;;;
020299;;Autocentro;Pequeno;;;;;;;;;;;;;;;
020304;;Autocentro;Grande;;;;;;;;;;;;;;;
020527;;Autocentro;Grande;;;;;;;;;;;;;;;
020634;;Autocentro;Grande;;;;;;;;;;;;;;;
020676;;Autocentro;Grande;;;;;;;;;;;;;;;
020890;;Varejo;Grande;;;;;;;;;;;;;;;
020934;;Autocentro;Grande;;;;;;;;;;;;;;;
021015;;Autocentro;Grande;;;;;;;;;;;;;;;
021027;;Autocentro;Pequeno;;;;;;;;;;;;;;;
021050;;Autocentro;Grande;;;;;;;;;;;;;;;
021061;;Autocentro;Grande;;;;;;;;;;;;;;;
021223;;Autocentro;Grande;;;;;;;;;;;;;;;
021471;;Autocentro;Grande;;;;;;;;;;;;;;;
021492;;Autocentro;Grande;;;;;;;;;;;;;;;
021828;;Autocentro;Grande;;;;;;;;;;;;;;;
021920;;Autocentro;Grande;;;;;;;;;;;;;;;
022689;;Autocentro;Grande;;;;;;;;;;;;;;;
022709;;Varejo;Grande;;;;;;;;;;;;;;;
022731;;Autocentro;Grande;;;;;;;;;;;;;;;
022814;;Autocentro;Pequeno;;;;;;;;;;;;;;;
022892;;Autocentro;Grande;;;;;;;;;;;;;;;
022979;;Autocentro;Pequeno;;;;;;;;;;;;;;;
023097;;Autocentro;Grande;;;;;;;;;;;;;;;
023113;;Autocentro;Grande;;;;;;;;;;;;;;;
023117;;Autocentro;Grande;;;;;;;;;;;;;;;
023153;;Autocentro;Grande;;;;;;;;;;;;;;;
023179;;Autocentro;Pequeno;;;;;;;;;;;;;;;
023319;;Autocentro;Grande;;;;;;;;;;;;;;;
023335;;Autocentro;Grande;;;;;;;;;;;;;;;
023336;;Autocentro;Pequeno;;;;;;;;;;;;;;;
023337;;Autocentro;Pequeno;;;;;;;;;;;;;;;
023342;;Autocentro;Grande;;;;;;;;;;;;;;;
023355;;Varejo;Pequeno;;;;;;;;;;;;;;;
023356;;Varejo;Pequeno;;;;;;;;;;;;;;;
023384;;Autocentro;Pequeno;;;;;;;;;;;;;;;
023385;;Autocentro;Pequeno;;;;;;;;;;;;;;;
023397;;Autocentro;Pequeno;;;;;;;;;;;;;;;
023403;;Autocentro;Pequeno;;;;;;;;;;;;;;;
023404;;Autocentro;Pequeno;;;;;;;;;;;;;;;
023413;;Varejo;Pequeno;;;;;;;;;;;;;;;
023416;;Autocentro;Grande;;;;;;;;;;;;;;;
023418;;Varejo;Pequeno;;;;;;;;;;;;;;;
023769;;Autocentro;Pequeno;;;;;;;;;;;;;;;
023775;;Autocentro;Pequeno;;;;;;;;;;;;;;;
023847;;Varejo;Grande;;;;;;;;;;;;;;;
023953;;Varejo;Pequeno;;;;;;;;;;;;;;;
023954;;Varejo;Grande;;;;;;;;;;;;;;;
023998;;Varejo;Grande;;;;;;;;;;;;;;;
024001;;Varejo;Pequeno;;;;;;;;;;;;;;;
024005;;Varejo;Pequeno;;;;;;;;;;;;;;;
024007;;Varejo;Grande;;;;;;;;;;;;;;;
024020;;Varejo;Grande;;;;;;;;;;;;;;;
024021;;Varejo;Grande;;;;;;;;;;;;;;;
